ID	relative_abundance
1187851	0.0
2754	0.0
1796613	0.0052805116138824
56810	0.0
1414721	0.0
165179	0.020047704421419833
1262975	0.0002835617116509219
77635	1.3234636710857053e-06
876	5.7314354478230705e-05
626940	0.004184105032817382
1504	0.0
454154	0.0014679989039396051
220714	9.94260438828971e-07
1848190	8.34307841012578e-07
339	0.0
160404	5.458063015374902e-05
1896978	0.00016032382070087803
727	4.9245084522630045e-05
1262914	0.0001566595045441944
1347366	1.7060068296112772e-06
194702	0.0
1549	0.0
33043	0.009259435187893324
40214	1.552888368296367e-05
905011	0.00016762698905056853
745368	0.0015149437643219232
2047	0.00015400352653295262
1743146	1.3155629249116723e-06
33010	7.61947359502297e-07
39498	0.0
164393	2.4239630603759414e-06
82135	3.899768611200233e-06
901	0.0005449287726381512
54736	0.0
262209	0.0
1244	5.647606121308794e-05
35818	1.6945309586859408e-05
1881068	9.743903274098796e-07
1720315	6.013671588709037e-05
1736464	0.0
470565	6.730380618739022e-07
1311	3.263422670487474e-05
1852383	4.1224758321835354e-06
29348	0.000471107733563162
470	0.0
1262959	9.047587179141668e-05
1262698	0.00010129471697102878
89153	3.21255919238929e-05
1841863	4.862820437643234e-05
1314	0.0
1871336	0.0
137838	4.2350518019862575e-06
1702287	0.0
1262856	0.0
1262901	3.6111257733268884e-05
1705	0.0
467210	3.722406087767728e-05
225992	1.885816654604238e-05
501571	7.480109307341535e-05
1262872	0.0007054829935593323
626937	0.0003426905581744124
1816676	0.00013710413054020344
214851	2.4973918178796266e-05
158877	0.0
1262905	0.0010357482098790546
1720204	5.872182121778211e-06
1673723	0.0
1262793	0.003728975922702592
53363	0.0
1262742	6.232963952696842e-05
739	3.3250870596113705e-06
367336	3.6515962002380553e-06
40520	0.007920514671618691
726	3.135755550826483e-05
28129	0.0
1816678	7.322633476990358e-05
84109	0.00010564762604833728
712461	0.0
652706	2.328684689644243e-06
1071061	7.629275734270664e-07
31971	6.6151045554045e-05
1561	1.3563156061122917e-06
80878	0.0
1111134	1.0471331055924039e-06
438033	4.830783795966866e-05
187101	1.1860917140579256e-06
1321783	1.937253940333459e-06
35833	0.0018536901522815665
1262803	0.00026971227615460154
1262774	0.00849704193983286
1930018	0.0
1776381	1.733317701395218e-06
938288	7.315893743514301e-06
1262811	0.004692951490466519
1080071	0.0
1262696	1.568133287538868e-05
421767	9.240404493387451e-07
79880	7.414891060354045e-07
1519438	0.0001526536679188497
471	0.0
1262958	0.0003442490086627572
2173	0.00898056555405251
1736	5.9468266647187864e-05
1896972	0.0009726585406954784
40542	0.0
1262863	0.0001058042686935877
28137	0.0
1262777	0.0008628656090285697
1305	0.0006168348152531047
44009	2.4178535820982223e-05
93378	0.0
218538	0.010296288216257788
84026	6.794866134167101e-05
1852922	7.85182090598041e-05
