	environment	phylum	abundance
1452	control	Firmicutes	81.17417300197451
1453	control	Actinobacteria	1.9665581443865183
1454	control	Bacteroidetes	13.322383345946598
1455	cancer	Firmicutes	75.54552995051401
1456	cancer	Bacteroidetes	16.550526372054676
1457	cancer	Actinobacteria	5.738711915856734
1458	cancer	Proteobacteria	1.958144856944694
1459	cancer	Firmicutes	78.09412005615017
1460	cancer	Proteobacteria	0.3051176399415497
1461	cancer	Bacteroidetes	15.1340186280088
1462	cancer	Actinobacteria	5.197536541634131
1463	control	Proteobacteria	0.32146187654809993
1464	control	Firmicutes	86.18931573892775
1465	control	Actinobacteria	2.666878236424769
1466	control	Bacteroidetes	10.139357375053578
1467	control	Proteobacteria	1.5343242777849129
1468	control	Firmicutes	65.12142494158007
1469	control	Actinobacteria	20.700413548602278
1470	control	Bacteroidetes	5.322161424110107
1471	cancer	Firmicutes	79.09126397790726
1472	cancer	Bacteroidetes	14.294942957439336
1473	cancer	Proteobacteria	2.431110004526368
1474	cancer	Actinobacteria	3.321473382248171
1475	adenoma	Proteobacteria	1.1417643319588584
1476	adenoma	Firmicutes	81.61666804969013
1477	adenoma	Bacteroidetes	12.036952981501527
1478	adenoma	Actinobacteria	4.576517306802919
1479	cancer	Proteobacteria	1.762801778800055
1480	cancer	Firmicutes	78.38274635150864
1481	cancer	Bacteroidetes	10.222536261578872
1482	cancer	Actinobacteria	5.086061653109933
1483	control	Firmicutes	82.83114809401827
1484	control	Bacteroidetes	5.50623198601564
1485	control	Actinobacteria	6.939643815805615
1486	control	Proteobacteria	3.885724292254708
1487	cancer	Proteobacteria	3.909864106369781
1488	cancer	Firmicutes	59.78026103417625
1489	cancer	Actinobacteria	5.438409847272841
1490	cancer	Bacteroidetes	29.446372418251222
1491	control	Proteobacteria	4.8122320885997265
1492	control	Firmicutes	75.21959704315329
1493	control	Actinobacteria	4.765835230855263
1494	control	Bacteroidetes	13.004802856743769
1495	cancer	Proteobacteria	1.415615921561409
1496	cancer	Firmicutes	83.11039302999983
1497	cancer	Actinobacteria	2.8636794373815926
1498	cancer	Bacteroidetes	7.440610841883773
1499	cancer	Proteobacteria	3.030417637674766
1500	cancer	Firmicutes	70.69786374848131
1501	cancer	Bacteroidetes	17.885122835951734
1502	cancer	Actinobacteria	7.038459331658956
1503	cancer	Proteobacteria	2.235935606257846
1504	cancer	Firmicutes	71.55420928227468
1505	cancer	Actinobacteria	2.447970588207403
1506	cancer	Bacteroidetes	16.68155308044827
1507	cancer	Proteobacteria	1.7509680196567987
1508	cancer	Firmicutes	78.18931829851049
1509	cancer	Actinobacteria	2.8894766506731555
1510	cancer	Bacteroidetes	15.113383751672677
1511	cancer	Proteobacteria	3.901468876481423
1512	cancer	Firmicutes	60.0322365257582
1513	cancer	Actinobacteria	4.919428473891842
1514	cancer	Bacteroidetes	30.120400208103522
1515	cancer	Firmicutes	72.97385012367377
1516	cancer	Bacteroidetes	14.463973786915865
1517	cancer	Actinobacteria	9.045636770768217
1518	cancer	Proteobacteria	1.7831588554130327
1519	adenoma	Proteobacteria	1.458911560689093
1520	adenoma	Actinobacteria	20.40669559360488
1521	adenoma	Bacteroidetes	12.068811762234498
1522	adenoma	Firmicutes	65.58458840686858
1523	control	Proteobacteria	3.4382862994593677
1524	control	Firmicutes	78.02991066615877
1525	control	Actinobacteria	7.266505007678912
1526	control	Bacteroidetes	4.313626562536642
1527	cancer	Proteobacteria	3.0955078193405265
1528	cancer	Firmicutes	78.80171259738023
1529	cancer	Bacteroidetes	11.014154019032025
1530	cancer	Actinobacteria	4.561708292620907
1531	adenoma	Proteobacteria	3.7385890743922596
1532	adenoma	Firmicutes	66.57414610494811
1533	adenoma	Actinobacteria	1.7801108793967644
1534	adenoma	Bacteroidetes	27.60408214657434
1535	cancer	Proteobacteria	5.93232266414609
1536	cancer	Firmicutes	56.16852215161212
1537	cancer	Bacteroidetes	32.91609817784148
1538	cancer	Actinobacteria	3.722387138405127
1539	control	Proteobacteria	0.876537642760441
1540	control	Firmicutes	73.9893742722861
1541	control	Actinobacteria	4.767782127808178
1542	control	Bacteroidetes	19.276221926146118
1543	cancer	Proteobacteria	1.3837168933567237
1544	cancer	Firmicutes	80.79299209333752
1545	cancer	Actinobacteria	3.330300759418824
1546	cancer	Bacteroidetes	12.740426797796085
1547	control	Proteobacteria	0.14641528073904286
1548	control	Firmicutes	68.42889458350247
1549	control	Actinobacteria	7.360970092750488
1550	control	Bacteroidetes	21.94659506167273
1551	adenoma	Proteobacteria	5.240102352695755
1552	adenoma	Firmicutes	70.2117882171326
1553	adenoma	Bacteroidetes	17.07239002456964
1554	adenoma	Actinobacteria	0.6040812797544215
